
1;gaspar_paul;admin;2024-09-04 07-09-13;Authentification;Réussite;Utilisateur;127.0.0.1;inconue;Nouvelle session initialisée;EOF;
1;gaspar paul;admin;2024-09-04 07-09-31;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;gaspar paul;admin;2024-09-04 07-09-33;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;gaspar paul;admin;2024-09-04 07-09-54;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;gaspar paul;admin;2024-09-04 07-09-28;insertion;Echec;Eleve;127.0.0.1;inconue;Cet école élève existe déjà ;EOF;
1;gaspar paul;admin;2024-09-04 07-09-37;insertion;Echec;Eleve;127.0.0.1;inconue;Cet école élève existe déjà ;EOF;
1;gaspar paul;admin;2024-09-04 07-09-22;insertion;Réussite;Eleve;127.0.0.1;inconue;Roase dd,nfhhfnf sdvfv,Doul,2024-08-09,1725434722.png,camerounais,F,1,CM-001-2024-sil-1113,0,actif,1,6,1,1113,1,1,2024-09-04 07:09:21,2024-09-04 07:09:21;EOF;
1;gaspar paul;admin;2024-09-04 07-09-38;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;gaspar paul;admin;2024-09-04 07-09-13;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;gaspar paul;admin;2024-09-04 07-09-28;insertion;Réussite;Eleve;127.0.0.1;inconue;Cuisto,Zeph,Baf,2024-09-04,1725435147.png,camerounais,F,1,CM-001-2024-sil-1114,0,actif,1,6,1,1114,1,1,2024-09-04 07:09:27,2024-09-04 07:09:27;EOF;
1;gaspar paul;admin;2024-09-04 07-09-09;insertion;Réussite;Eleve;127.0.0.1;inconue;Roase,Tankou We,vfvdf,2024-09-01,1725435309.png,camerounais,F,1,CM-001-2024-sil-1115,0,actif,1,6,1,1115,1,1,2024-09-04 07:09:09,2024-09-04 07:09:09;EOF;
