
1;takam_ange;admin;2023-12-21 14-12-49;Authentification;Réussite;Utilisateur;::1;Default Browser;Nouvelle session initialisée;EOF;
1;takam ange;admin;2023-12-21 15-12-12;Année active;Reussite;Année;::1;Default Browser;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2023-12-21 15-12-31;Année active;Reussite;Année;::1;Default Browser;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2023-12-21 15-12-05;Selection;Echec;Classe;::1;Default Browser;Opération reussir;EOF;
1;takam ange;admin;2023-12-21 15-12-17;Année active;Reussite;Année;::1;Default Browser;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2023-12-21 15-12-34;Selection;Echec;Classe;::1;Default Browser;Opération reussir;EOF;
1;takam ange;admin;2023-12-21 15-12-37;Année active;Reussite;Année;::1;Default Browser;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2023-12-21 15-12-50;Selection;Echec;Classe;::1;Default Browser;Opération reussir;EOF;
1;takam ange;admin;2023-12-21 15-12-41;insertion;Réussite;Trimestre;::1;Default Browser;trimestre 1,tr1,0,actif,1,1,1,6,1,2023-12-21 15:12:41,2023-12-21 15:12:41;EOF;
1;takam ange;admin;2023-12-21 15-12-48;Année active;Reussite;Année;::1;Default Browser;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2023-12-21 15-12-49;affichage;Réussite;Trimestre;::1;Default Browser;Opération réussir;EOF;
1;takam ange;admin;2023-12-21 15-12-54;Selection;Reussite;Année;::1;Default Browser;Opération de Selection reussir;EOF;
1;takam ange;admin;2023-12-21 15-12-36;Année active;Reussite;Année;::1;Default Browser;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2023-12-21 15-12-37;affichage;Réussite;Trimestre;::1;Default Browser;Opération réussir;EOF;
1;takam ange;admin;2023-12-21 15-12-07;Année active;Reussite;Année;::1;Default Browser;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2023-12-21 15-12-07;affichage;Réussite;Trimestre;::1;Default Browser;Opération réussir;EOF;
1;takam ange;admin;2023-12-21 15-12-10;Suppression;Reussite;Trimestre;::1;Default Browser;1,inactif,2023-12-21 15:12:10;EOF;
1;takam ange;admin;2023-12-21 15-12-18;Année active;Reussite;Année;::1;Default Browser;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2023-12-21 15-12-18;affichage;Réussite;Trimestre;::1;Default Browser;Opération réussir;EOF;
1;takam ange;admin;2023-12-21 15-12-39;Année active;Reussite;Année;::1;Default Browser;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2023-12-21 15-12-40;affichage;Réussite;Trimestre;::1;Default Browser;Opération réussir;EOF;
1;takam ange;admin;2023-12-21 15-12-10;Suppression;Reussite;Trimestre;::1;Default Browser;1,inactif,2023-12-21 15:12:10;EOF;
1;takam ange;admin;2023-12-21 15-12-28;Suppression;Echec;Trimestre;::1;Default Browser;Ce trimestre n'existe pas;EOF;
1;takam ange;admin;2023-12-21 15-12-33;Année active;Reussite;Année;::1;Default Browser;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2023-12-21 15-12-33;affichage;Réussite;Trimestre;::1;Default Browser;Opération réussir;EOF;
