
1;takam_ange;admin;2024-09-02 18-09-03;Authentification;Réussite;Utilisateur;127.0.0.1;inconue;Nouvelle session initialisée;EOF;
1;takam ange;admin;2024-09-02 18-09-19;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 18-09-34;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 18-09-40;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 18-09-49;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 18-09-37;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 18-09-45;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 18-09-14;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 18-09-25;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 18-09-42;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 18-09-08;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 18-09-24;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 18-09-26;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 18-09-37;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 19-09-25;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 19-09-36;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 19-09-33;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 19-09-42;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 19-09-53;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 19-09-21;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 19-09-30;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 19-09-58;insertion;Réussite;Matiere;127.0.0.1;inconue;Insertion reussir ;EOF;
1;takam ange;admin;2024-09-02 19-09-59;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 19-09-09;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 19-09-20;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 19-09-10;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 19-09-23;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;takam ange;admin;2024-09-02 19-09-37;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2023 / 2024,2023-09-29,2024-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;takam ange;admin;2024-09-02 19-09-17;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
